epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,28665.8,0.74015,0.55663,1.04175,0.76202,0.69391,0.72164,0.53964,0.63245,0.3393,0.93833,0.0084358,0.0084358,0.0084358
81,29024.3,0.73887,0.55403,1.03994,0.76568,0.69005,0.72174,0.53991,0.63233,0.33874,0.93809,0.008416,0.008416,0.008416
82,29383.4,0.73768,0.55263,1.04012,0.76464,0.68968,0.72114,0.5401,0.63216,0.33843,0.93813,0.0083962,0.0083962,0.0083962
83,29742.3,0.73687,0.55062,1.03934,0.75017,0.69345,0.71924,0.54001,0.63183,0.33852,0.93782,0.0083764,0.0083764,0.0083764
84,30101.7,0.73572,0.5491,1.03827,0.75066,0.69286,0.71948,0.53994,0.63102,0.33832,0.93713,0.0083566,0.0083566,0.0083566
85,30461.3,0.73396,0.55388,1.04274,0.74909,0.69413,0.71865,0.54023,0.63096,0.33818,0.93713,0.0083368,0.0083368,0.0083368
86,30820.7,0.73179,0.54621,1.03661,0.74835,0.6952,0.71852,0.54008,0.63076,0.33803,0.93721,0.008317,0.008317,0.008317
87,31180.5,0.72993,0.54829,1.03587,0.74631,0.69672,0.71855,0.54048,0.63083,0.33791,0.9372,0.0082972,0.0082972,0.0082972
88,31540.6,0.72928,0.54664,1.03619,0.74739,0.69577,0.71952,0.54102,0.63051,0.33773,0.93704,0.0082774,0.0082774,0.0082774
89,31900.5,0.73216,0.54591,1.03611,0.75015,0.69649,0.71964,0.54118,0.63084,0.33773,0.93718,0.0082576,0.0082576,0.0082576
90,32260.6,0.72968,0.54536,1.03791,0.75033,0.69725,0.71981,0.54075,0.63104,0.33774,0.93729,0.0082378,0.0082378,0.0082378
91,32620.9,0.72557,0.54453,1.03669,0.76191,0.70517,0.73012,0.54185,0.63092,0.33781,0.93725,0.008218,0.008218,0.008218
92,32981,0.72513,0.54366,1.03382,0.75202,0.69634,0.72294,0.54246,0.63108,0.33813,0.93732,0.0081982,0.0081982,0.0081982
93,33341,0.72342,0.53794,1.03323,0.75298,0.69511,0.72257,0.54324,0.63125,0.33809,0.93742,0.0081784,0.0081784,0.0081784
94,33701.3,0.72793,0.53867,1.03335,0.75739,0.69418,0.72288,0.5468,0.63131,0.33812,0.93757,0.0081586,0.0081586,0.0081586
95,34061.8,0.72312,0.53837,1.03406,0.75881,0.69308,0.72221,0.54631,0.63158,0.33827,0.93778,0.0081388,0.0081388,0.0081388
96,34422.3,0.7234,0.53767,1.03155,0.74916,0.69771,0.72328,0.54675,0.63159,0.33837,0.93793,0.008119,0.008119,0.008119
97,34782.7,0.7193,0.5359,1.02987,0.75987,0.68984,0.72338,0.5471,0.63147,0.33821,0.93784,0.0080992,0.0080992,0.0080992
98,35142.9,0.7232,0.53577,1.03374,0.74144,0.69942,0.72711,0.54768,0.63137,0.33803,0.93785,0.0080794,0.0080794,0.0080794
99,35503.4,0.72167,0.53854,1.02932,0.74187,0.702,0.72753,0.54741,0.63107,0.33775,0.93763,0.0080596,0.0080596,0.0080596
100,35863.7,0.71799,0.53542,1.0292,0.74348,0.70222,0.72777,0.54771,0.63123,0.33798,0.93779,0.0080398,0.0080398,0.0080398
101,36223.9,0.71856,0.53146,1.02762,0.76894,0.69827,0.73204,0.54801,0.63156,0.33842,0.93801,0.00802,0.00802,0.00802
102,36584.3,0.71785,0.53275,1.02907,0.77013,0.69744,0.73202,0.5478,0.63159,0.33819,0.93809,0.0080002,0.0080002,0.0080002
103,36944.6,0.71911,0.53345,1.02853,0.77255,0.69714,0.7328,0.54835,0.63151,0.33849,0.93792,0.0079804,0.0079804,0.0079804
104,37304.9,0.71745,0.53139,1.02881,0.77113,0.69913,0.73243,0.5478,0.63143,0.33835,0.93786,0.0079606,0.0079606,0.0079606
105,37665.3,0.71575,0.53364,1.02551,0.77302,0.69946,0.73302,0.54851,0.63137,0.33841,0.93767,0.0079408,0.0079408,0.0079408
106,38026,0.71659,0.53362,1.029,0.77505,0.69893,0.73291,0.5481,0.63169,0.33808,0.93786,0.007921,0.007921,0.007921
107,38386.5,0.7162,0.53131,1.02692,0.77515,0.69877,0.73224,0.54983,0.63129,0.33824,0.93749,0.0079012,0.0079012,0.0079012
108,38747,0.71503,0.52824,1.02277,0.80269,0.67811,0.73182,0.5494,0.63094,0.33847,0.93734,0.0078814,0.0078814,0.0078814
109,39107.5,0.71348,0.52771,1.02576,0.80412,0.67775,0.73187,0.54914,0.63066,0.33899,0.93701,0.0078616,0.0078616,0.0078616
110,39467.9,0.71156,0.52596,1.02486,0.80598,0.6791,0.73362,0.54985,0.63047,0.33921,0.93692,0.0078418,0.0078418,0.0078418
111,39828.5,0.71063,0.52608,1.02546,0.80775,0.67886,0.7339,0.54946,0.63019,0.33911,0.93677,0.007822,0.007822,0.007822
112,40189,0.71014,0.52487,1.02646,0.8135,0.67948,0.73439,0.55082,0.6297,0.33903,0.93654,0.0078022,0.0078022,0.0078022
113,40549.6,0.70899,0.52085,1.02002,0.81347,0.67909,0.73423,0.55761,0.62962,0.33875,0.93656,0.0077824,0.0077824,0.0077824
114,40910.2,0.7103,0.52231,1.02494,0.80876,0.6779,0.73365,0.55846,0.62964,0.33823,0.93663,0.0077626,0.0077626,0.0077626
115,41270.9,0.7094,0.52425,1.02696,0.80754,0.67692,0.73273,0.55768,0.62973,0.33795,0.93674,0.0077428,0.0077428,0.0077428
116,41631.5,0.7078,0.52371,1.02377,0.80646,0.67734,0.73233,0.55818,0.62914,0.33753,0.93604,0.007723,0.007723,0.007723
117,41992.2,0.70521,0.51925,1.02275,0.75288,0.70828,0.72806,0.5578,0.62912,0.33753,0.93594,0.0077032,0.0077032,0.0077032
118,42352.7,0.70596,0.51918,1.02345,0.80705,0.67938,0.73222,0.55796,0.62888,0.33763,0.93576,0.0076834,0.0076834,0.0076834
119,42713.3,0.70405,0.52156,1.02515,0.75234,0.70247,0.72756,0.55778,0.6288,0.33755,0.93582,0.0076636,0.0076636,0.0076636
120,43073.8,0.70592,0.5179,1.0226,0.75247,0.70304,0.72693,0.5573,0.6288,0.3374,0.93585,0.0076438,0.0076438,0.0076438
121,43434.4,0.70386,0.52018,1.02329,0.80425,0.67921,0.73079,0.55793,0.62898,0.33767,0.93595,0.007624,0.007624,0.007624
122,43794.9,0.70147,0.51404,1.01855,0.75053,0.70268,0.72772,0.55771,0.62891,0.33755,0.93591,0.0076042,0.0076042,0.0076042
123,44155.7,0.70126,0.51981,1.02139,0.74882,0.70404,0.72853,0.55883,0.62891,0.33749,0.93607,0.0075844,0.0075844,0.0075844
124,44516.5,0.70575,0.51857,1.0224,0.7496,0.70599,0.72766,0.55917,0.62879,0.33691,0.93592,0.0075646,0.0075646,0.0075646
125,44877.3,0.70142,0.51603,1.01935,0.75101,0.70862,0.7278,0.55577,0.62884,0.33703,0.93595,0.0075448,0.0075448,0.0075448
126,45238,0.70031,0.51588,1.01912,0.7538,0.70631,0.72539,0.55579,0.62894,0.337,0.93599,0.007525,0.007525,0.007525
127,45598.8,0.69929,0.51405,1.01934,0.76424,0.69993,0.72578,0.55951,0.6287,0.3366,0.93567,0.0075052,0.0075052,0.0075052
128,45959.7,0.69801,0.51389,1.02003,0.77194,0.7085,0.73325,0.56045,0.62835,0.33676,0.93541,0.0074854,0.0074854,0.0074854
129,46320.6,0.69827,0.51278,1.01737,0.78811,0.7032,0.73423,0.55713,0.62834,0.33706,0.93525,0.0074656,0.0074656,0.0074656
130,46681.4,0.69812,0.51127,1.01841,0.78756,0.7028,0.73225,0.5556,0.62826,0.33712,0.93525,0.0074458,0.0074458,0.0074458
131,47042.2,0.69638,0.51254,1.02032,0.79093,0.69857,0.73192,0.55579,0.62828,0.33699,0.9354,0.007426,0.007426,0.007426
132,47403.3,0.69651,0.51226,1.02153,0.80194,0.69048,0.73148,0.55645,0.62841,0.33715,0.93554,0.0074062,0.0074062,0.0074062
133,47764,0.69274,0.51053,1.01436,0.78192,0.70034,0.73175,0.55557,0.62823,0.33662,0.93545,0.0073864,0.0073864,0.0073864
134,48124.7,0.69644,0.51012,1.01056,0.76457,0.70916,0.72306,0.5546,0.6281,0.33656,0.93521,0.0073666,0.0073666,0.0073666
135,48486.7,0.6914,0.50497,1.01013,0.76498,0.70899,0.72288,0.55425,0.62796,0.33692,0.93504,0.0073468,0.0073468,0.0073468
136,48847.8,0.69343,0.50941,1.01376,0.774,0.69226,0.72337,0.55434,0.6278,0.33685,0.9349,0.007327,0.007327,0.007327
137,49209,0.69189,0.50545,1.01308,0.77381,0.69149,0.72324,0.55448,0.6277,0.33698,0.93491,0.0073072,0.0073072,0.0073072
138,49570.2,0.69235,0.50531,1.01299,0.77801,0.68462,0.72277,0.55473,0.62779,0.3369,0.93486,0.0072874,0.0072874,0.0072874
139,49931.3,0.69088,0.50877,1.01313,0.76637,0.69038,0.72135,0.55415,0.62753,0.33698,0.93481,0.0072676,0.0072676,0.0072676
140,50292.5,0.69059,0.50634,1.01504,0.75543,0.70974,0.72104,0.55407,0.62715,0.33696,0.93467,0.0072478,0.0072478,0.0072478
141,50653.5,0.68993,0.50381,1.01314,0.76485,0.69174,0.72021,0.5546,0.62725,0.33702,0.93467,0.007228,0.007228,0.007228
142,51014.6,0.68601,0.50405,1.01322,0.76312,0.70525,0.72054,0.55796,0.62739,0.33667,0.93486,0.0072082,0.0072082,0.0072082
143,51375.9,0.69035,0.50371,1.01136,0.76121,0.70581,0.7206,0.55802,0.6275,0.33666,0.93493,0.0071884,0.0071884,0.0071884
144,51736.8,0.69005,0.50455,1.01265,0.76,0.70475,0.72375,0.55529,0.62761,0.33664,0.93514,0.0071686,0.0071686,0.0071686
145,52097.9,0.68787,0.50194,1.00823,0.76731,0.69371,0.72099,0.55473,0.62802,0.33693,0.93543,0.0071488,0.0071488,0.0071488
146,52458.9,0.68579,0.49989,1.01039,0.76818,0.69365,0.72265,0.55432,0.62812,0.33705,0.93539,0.007129,0.007129,0.007129
147,52819.8,0.68702,0.50223,1.00874,0.76811,0.69259,0.72274,0.55381,0.62791,0.33713,0.9351,0.0071092,0.0071092,0.0071092
148,53180.5,0.68697,0.50175,1.01057,0.77715,0.69118,0.72218,0.55378,0.62824,0.33697,0.93533,0.0070894,0.0070894,0.0070894
149,53541.5,0.68242,0.50019,1.01092,0.77839,0.6914,0.72293,0.55435,0.62827,0.33703,0.9353,0.0070696,0.0070696,0.0070696
150,53902.5,0.68091,0.49668,1.00824,0.77621,0.6889,0.72182,0.55122,0.62828,0.33689,0.93534,0.0070498,0.0070498,0.0070498
151,54263.5,0.68257,0.50077,1.00798,0.78081,0.69073,0.72438,0.5518,0.62841,0.33644,0.93543,0.00703,0.00703,0.00703
152,54624.4,0.68327,0.49679,1.00865,0.78058,0.69049,0.72433,0.55178,0.62845,0.33686,0.9355,0.0070102,0.0070102,0.0070102
153,54985.3,0.68105,0.49942,1.00937,0.77769,0.69035,0.72367,0.5521,0.62844,0.33706,0.93557,0.0069904,0.0069904,0.0069904
154,55346.3,0.6805,0.49631,1.00502,0.77912,0.68987,0.72415,0.55209,0.62825,0.33683,0.9354,0.0069706,0.0069706,0.0069706
155,366.32,0.65961,0.47285,0.99385,0.77988,0.68995,0.72462,0.55282,0.62807,0.33707,0.93521,0.0069508,0.0069508,0.0069508
156,725.194,0.67145,0.48867,1.00596,0.78058,0.68994,0.72581,0.55318,0.62818,0.33719,0.93535,0.006931,0.006931,0.006931
157,368.11,0.65275,0.46835,0.9942,0.77889,0.68869,0.72542,0.55304,0.62807,0.3372,0.9353,0.0069112,0.0069112,0.0069112
158,726.039,0.66905,0.48454,1.00382,0.77441,0.68578,0.72323,0.55326,0.62804,0.33711,0.93526,0.0068914,0.0068914,0.0068914
159,1084.77,0.67532,0.48996,1.00824,0.77365,0.6868,0.72347,0.55308,0.62831,0.33711,0.93556,0.0068716,0.0068716,0.0068716
160,1447.72,0.67761,0.49325,1.00508,0.7702,0.68879,0.72317,0.55242,0.6282,0.33706,0.93551,0.0068518,0.0068518,0.0068518
161,1816.85,0.6794,0.49473,1.00717,0.76824,0.68841,0.7226,0.55139,0.62804,0.33741,0.93544,0.006832,0.006832,0.006832
162,2171.89,0.68197,0.49422,1.0094,0.76846,0.68817,0.72273,0.55143,0.62815,0.33734,0.93554,0.0068122,0.0068122,0.0068122
163,2534.3,0.67916,0.49506,1.00913,0.76881,0.68769,0.72298,0.55078,0.62834,0.33741,0.93588,0.0067924,0.0067924,0.0067924
164,2898.95,0.68208,0.49402,1.00824,0.75982,0.68712,0.72261,0.55079,0.62825,0.33759,0.93595,0.0067726,0.0067726,0.0067726
165,3256.08,0.68213,0.49313,1.00799,0.75906,0.68765,0.72144,0.55095,0.62814,0.33763,0.93591,0.0067528,0.0067528,0.0067528
166,3613.1,0.68093,0.49767,1.00956,0.76346,0.69268,0.72111,0.55083,0.62822,0.33769,0.936,0.006733,0.006733,0.006733
167,3969.57,0.68159,0.49698,1.0102,0.75945,0.69557,0.7213,0.55093,0.62812,0.33783,0.9359,0.0067132,0.0067132,0.0067132
168,4325.3,0.68089,0.49689,1.01041,0.76604,0.69709,0.72217,0.55118,0.62841,0.33775,0.93627,0.0066934,0.0066934,0.0066934
169,4681.43,0.68115,0.49463,1.00527,0.76058,0.7028,0.72325,0.5525,0.62825,0.33763,0.9361,0.0066736,0.0066736,0.0066736
